,ResponseId,DevType,Country,Amazon Web Services,Heroku,Netlify,Google Cloud,Fly.io,Cloudflare,Firebase,Vercel,Digital Ocean,Hetzner,VMware,Microsoft Azure,Databricks,Oracle Cloud,PythonAnywhere,Render,Supabase,Managed Hosting,OpenShift,OVH,IBM Cloud,Alibaba Cloud,Vultr,Colocation,Linode/Akamai,Scaleway,OpenStack
36000,36001,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36002,36003,Academic Researcher,United Kingdom,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
36003,36004,Academic Researcher,India,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36004,36005,Full-Stack Developer,Brazil,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36005,36006,Mobile App Developer,Germany,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
36007,36008,Back-End Developer,Czech Republic,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
36008,36009,Full-Stack Developer,Netherlands,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36010,36011,Back-End Developer,Spain,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36011,36012,Professional Researcher,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36012,36013,Back-End Developer,Russia,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36013,36014,Back-End Developer,United States,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
36015,36016,Full-Stack Developer,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
36016,36017,Full-Stack Developer,Italy,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36017,36018,Cloud Engineer,United Kingdom,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36018,36019,Front-End Developer,Brazil,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
36019,36020,Front-End Developer,India,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
36020,36021,Front-End Developer,Netherlands,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36021,36022,Back-End Developer,Russia,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
36022,36023,Back-End Developer,France,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,
36023,36024,DevOps Engineer,Germany,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
36024,36025,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36030,36031,Full-Stack Developer,Germany,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36031,36032,Others,Germany,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36033,36034,Academic Researcher,India,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
36034,36035,Professional Researcher,Hungary,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
36035,36036,Others,United States,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36036,36037,Data Engineer,United States,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
36038,36039,Software Engineer,United States,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36039,36040,Academic Researcher,Germany,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36040,36041,Back-End Developer,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36041,36042,Hardware Engineer,Brazil,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
36042,36043,Others,India,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36043,36044,ML Engineer,United States,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36044,36045,Others,Germany,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36045,36046,Full-Stack Developer,Sweden,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
36046,36047,Back-End Developer,United Kingdom,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36048,36049,Full-Stack Developer,United Kingdom,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,
36049,36050,Others,Brazil,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36050,36051,Full-Stack Developer,Mexico,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36051,36052,Academic Researcher,Sweden,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36052,36053,Front-End Developer,Sweden,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
36053,36054,Full-Stack Developer,Argentina,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
36054,36055,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36055,36056,Back-End Developer,Brazil,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
36057,36058,Full-Stack Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36058,36059,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36059,36060,Academic Researcher,United States,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
36060,36061,Back-End Developer,Ukraine,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
36061,36062,Back-End Developer,Israel,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36062,36063,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36065,36066,Academic Researcher,Canada,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36068,36069,Back-End Developer,United States,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36069,36070,Back-End Developer,Indonesia,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36071,36072,Full-Stack Developer,Mexico,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36076,36077,Others,Canada,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36077,36078,Full-Stack Developer,Germany,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36079,36080,Data Engineer,Netherlands,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36080,36081,Full-Stack Developer,Guatemala,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
36081,36082,Full-Stack Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
36082,36083,Databases Administrator,United States,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
36084,36085,Software Engineer,United Kingdom,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36085,36086,Back-End Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36086,36087,Back-End Developer,United States,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
36087,36088,Academic Researcher,Canada,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
36088,36089,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36089,36090,Others,Germany,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
36091,36092,Cyber Security,United States,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
36092,36093,Back-End Developer,Canada,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36093,36094,Full-Stack Developer,United States,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36095,36096,Others,Armenia,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
36097,36098,Game Developer,United Kingdom,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
36098,36099,Software Engineer,Ukraine,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36099,36100,Academic Researcher,India,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
36100,36101,Software Engineer,Canada,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36101,36102,Full-Stack Developer,Sri Lanka,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36104,36105,Back-End Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36105,36106,Back-End Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36106,36107,Full-Stack Developer,United States,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36107,36108,Academic Researcher,Australia,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36108,36109,Full-Stack Developer,France,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36110,36111,Academic Researcher,United States,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
36111,36112,Full-Stack Developer,United States,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
36112,36113,Full-Stack Developer,Portugal,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36113,36114,Game Developer,Cameroon,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36114,36115,Full-Stack Developer,Brazil,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36116,36117,Full-Stack Developer,Portugal,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36118,36119,Full-Stack Developer,France,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
36119,36120,Front-End Developer,France,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,
36120,36121,Full-Stack Developer,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36121,36122,Blockchain Developer,United States,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
36123,36124,Front-End Developer,India,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36125,36126,Software Engineer,India,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36126,36127,Academic Researcher,United Kingdom,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36127,36128,Front-End Developer,Germany,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,
36128,36129,Back-End Developer,Ukraine,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
36129,36130,Full-Stack Developer,Brazil,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
36130,36131,Back-End Developer,United States,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
36131,36132,Full-Stack Developer,Germany,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
36132,36133,Full-Stack Developer,United Kingdom,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
36133,36134,Others,Germany,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
36134,36135,Academic Researcher,Honduras,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36135,36136,Software Engineer,Costa Rica,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
36136,36137,Academic Researcher,France,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,
36137,36138,Academic Researcher,Argentina,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
36138,36139,Full-Stack Developer,United States,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
36142,36143,Back-End Developer,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36144,36145,Sales Professional,South Africa,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
36145,36146,Full-Stack Developer,France,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36146,36147,Academic Researcher,Poland,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
36148,36149,Software Engineer,Canada,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
36149,36150,Full-Stack Developer,Venezuela,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36150,36151,Project Manager,Germany,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0
36151,36152,Full-Stack Developer,Indonesia,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
36152,36153,Project Manager,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36153,36154,Full-Stack Developer,United Kingdom,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
36154,36155,Full-Stack Developer,Brazil,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
36155,36156,Front-End Developer,India,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
36157,36158,Front-End Developer,Nigeria,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
36161,36162,Academic Researcher,Sri Lanka,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
36162,36163,Academic Researcher,India,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36163,36164,Back-End Developer,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36165,36166,Academic Researcher,Spain,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36166,36167,Others,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36167,36168,Full-Stack Developer,Canada,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
36168,36169,Full-Stack Developer,United States,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
36170,36171,Full-Stack Developer,Germany,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36171,36172,Back-End Developer,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
36172,36173,Front-End Developer,Ukraine,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36174,36175,Others,Canada,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36175,36176,Full-Stack Developer,Finland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36176,36177,Full-Stack Developer,Sweden,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
36177,36178,Software Engineer,United States,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
36179,36180,Academic Researcher,Poland,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
36180,36181,Academic Researcher,United States,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
36183,36184,Full-Stack Developer,Canada,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,
36184,36185,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36186,36187,Others,United States,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36187,36188,Academic Researcher,United States,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
36189,36190,Full-Stack Developer,Paraguay,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
36190,36191,Software Engineer,Ukraine,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
36191,36192,Professional Researcher,United Kingdom,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36192,36193,Professional Researcher,United States,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36196,36197,Back-End Developer,United Kingdom,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36197,36198,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36198,36199,Academic Researcher,United States,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,
36200,36201,Academic Researcher,United States,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36203,36204,Back-End Developer,Germany,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36205,36206,Others,Canada,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
36206,36207,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36208,36209,Mobile App Developer,United States,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36210,36211,Full-Stack Developer,Czech Republic,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36212,36213,Cloud Engineer,Japan,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36213,36214,Full-Stack Developer,Switzerland,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
36214,36215,ML Engineer,Turkey,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
36215,36216,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36217,36218,Back-End Developer,Germany,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,
36218,36219,Full-Stack Developer,United States,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
36219,36220,Full-Stack Developer,Mexico,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
36220,36221,Others,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36221,36222,UI/UX Designer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36222,36223,Front-End Developer,Ukraine,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36224,36225,Back-End Developer,United States,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36225,36226,Full-Stack Developer,United States,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36226,36227,Academic Researcher,Bangladesh,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36228,36229,Data Analyst,Colombia,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36230,36231,Full-Stack Developer,Canada,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
36232,36233,Software Engineer,Costa Rica,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
36233,36234,Full-Stack Developer,Portugal,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
36234,36235,Academic Researcher,Canada,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
36236,36237,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36237,36238,Back-End Developer,United States,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36238,36239,Full-Stack Developer,Iceland,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,
36239,36240,Full-Stack Developer,United States,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
36240,36241,Full-Stack Developer,United States,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
36241,36242,Back-End Developer,India,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,
36242,36243,Back-End Developer,Sweden,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36243,36244,Project Manager,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36244,36245,Project Manager,Kenya,,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,
36245,36246,Full-Stack Developer,Argentina,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
36247,36248,Back-End Developer,Ukraine,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36248,36249,Full-Stack Developer,United States,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
36250,36251,Full-Stack Developer,Brazil,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0
36251,36252,Others,United States,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,
36252,36253,Full-Stack Developer,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
36254,36255,Full-Stack Developer,Costa Rica,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36256,36257,Back-End Developer,India,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36258,36259,QA Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36259,36260,Full-Stack Developer,India,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
36261,36262,Full-Stack Developer,Austria,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0
36262,36263,Full-Stack Developer,Canada,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
36265,36266,Full-Stack Developer,United Kingdom,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36266,36267,Full-Stack Developer,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36268,36269,Full-Stack Developer,Canada,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36269,36270,Full-Stack Developer,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36271,36272,Full-Stack Developer,Sweden,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
36272,36273,ML Engineer,United States,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36273,36274,Back-End Developer,India,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,
36274,36275,Software Engineer,Hungary,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36275,36276,Back-End Developer,Italy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36276,36277,Back-End Developer,Israel,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36277,36278,Project Manager,United States,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
36279,36280,Front-End Developer,Ukraine,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
36280,36281,Databases Administrator,France,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36281,36282,Mobile App Developer,Moldova,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,
36283,36284,Full-Stack Developer,Poland,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
36284,36285,QA Engineer,United Kingdom,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36287,36288,Hardware Engineer,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
36288,36289,Others,United States,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36289,36290,QA Engineer,Ukraine,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
36290,36291,Full-Stack Developer,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36292,36293,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36294,36295,ML Engineer,India,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,
36295,36296,Back-End Developer,Serbia,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
36296,36297,Full-Stack Developer,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36298,36299,Academic Researcher,Brazil,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
36299,36300,Cloud Engineer,Iran,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36300,36301,Cloud Engineer,Canada,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
36301,36302,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36302,36303,Hardware Engineer,United States,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
36303,36304,Project Manager,Brazil,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
36304,36305,Back-End Developer,India,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36305,36306,Back-End Developer,United States,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
36306,36307,Data Science/ML,Mexico,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
36307,36308,Data Science/ML,Russia,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,
36309,36310,Full-Stack Developer,United States,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
36310,36311,Front-End Developer,India,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
36311,36312,Cloud Engineer,Germany,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,
36312,36313,Full-Stack Developer,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36314,36315,Professional Researcher,Micronesia,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,1.0
36315,36316,Data Engineer,Brazil,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
36316,36317,Back-End Developer,Brazil,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36317,36318,Cloud Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36318,36319,Project Manager,Ukraine,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36319,36320,DevOps Engineer,Lithuania,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
36320,36321,Full-Stack Developer,France,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36321,36322,Back-End Developer,Mexico,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36322,36323,Others,United States,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
36323,36324,Academic Researcher,Austria,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
36325,36326,Full-Stack Developer,India,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36326,36327,Full-Stack Developer,United States,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36327,36328,Others,United States,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
36328,36329,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36330,36331,Full-Stack Developer,Denmark,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36331,36332,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36332,36333,Academic Researcher,United States,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
36334,36335,Full-Stack Developer,United States,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36335,36336,Academic Researcher,United States,,1.0,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,
36336,36337,Hardware Engineer,Japan,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0
36337,36338,Back-End Developer,India,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
36338,36339,Full-Stack Developer,United Kingdom,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36340,36341,Others,United States,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
36342,36343,Academic Researcher,Kenya,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
36344,36345,System Administrator,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36345,36346,Full-Stack Developer,United States,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36346,36347,Data Science/ML,India,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36349,36350,Others,Switzerland,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
36351,36352,Back-End Developer,Ukraine,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
36353,36354,Academic Researcher,United States,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
36354,36355,Data Science/ML,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36356,36357,Project Manager,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
36357,36358,Front-End Developer,Nepal,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
36358,36359,Full-Stack Developer,Hungary,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
36359,36360,Back-End Developer,Brazil,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
